country,year,quarter,date_q,profit_share,inflation_total,inflation_energy,unemployment_rate,ulc_index,ulc_yoy,gdp_real,gdp_yoy
ES,1999,1,1999-01-01,37.47,1.7666666666666666,-3.933333333333333,14.333333333333334,68.01,1.8037572038021032,216997,4.141230899178372
ES,1999,2,1999-04-01,37.54,2.1666666666666665,-2.0666666666666664,13.533333333333333,68.01,1.8037572038021032,219484,4.190718517393277
ES,1999,3,1999-07-01,37.08,2.3,5.033333333333333,13.466666666666667,68.01,1.8037572038021032,222470,4.61152151526123
ES,1999,4,1999-10-01,36.82,2.6333333333333333,2.3666666666666667,13.066666666666666,68.01,1.8037572038021032,224940,4.681682799702158
ES,2000,1,2000-01-01,36.97,2.966666666666667,6.766666666666667,12.466666666666667,69.949,2.851051315982933,228493,5.29776909358195
ES,2000,2,2000-04-01,36.33,3.2333333333333334,7.333333333333333,11.933333333333334,69.949,2.851051315982933,231381,5.420440669934945
ES,2000,3,2000-07-01,36.81,3.666666666666667,2.7333333333333334,11.8,69.949,2.851051315982933,233741,5.066301074302149
ES,2000,4,2000-10-01,37.1,4.033333333333333,6.8,11.466666666666667,69.949,2.851051315982933,236243,5.0248955276962715
ES,2001,1,2001-01-01,36.57,2.8666666666666667,3.6333333333333333,10.666666666666666,71.451,2.1472787316473285,238642,4.441711562279815
ES,2001,2,2001-04-01,37.29,3.7,3.7333333333333334,10.5,71.451,2.1472787316473285,240497,3.9398221980197157
ES,2001,3,2001-07-01,36.91,2.2666666666666666,1.3333333333333335,10.533333333333333,71.451,2.1472787316473285,242809,3.8795076601879863
ES,2001,4,2001-10-01,36.69,2.5,-3.5,10.6,71.451,2.1472787316473285,244354,3.433329241501326
ES,2002,1,2002-01-01,36.92,3.166666666666667,-0.8666666666666667,11.266666666666666,73.655,3.0846314257323204,245509,2.8775320354338385
ES,2002,2,2002-04-01,36.41,3.6,-2.4,11.266666666666666,73.655,3.0846314257323204,247567,2.9397456101323494
ES,2002,3,2002-07-01,36.55,3.566666666666667,-1.3,11.733333333333333,73.655,3.0846314257323204,248954,2.530795810698949
ES,2002,4,2002-10-01,36.8,3.966666666666667,0.033333333333333326,11.6,73.655,3.0846314257323204,250898,2.6780817993566686
ES,2003,1,2003-01-01,36.94,3.8,1.5333333333333332,11.666666666666666,75.429,2.408526237186881,253316,3.179924157566516
ES,2003,2,2003-04-01,37.22,2.9,1.5333333333333334,11.4,75.429,2.408526237186881,254287,2.714416703357081
ES,2003,3,2003-07-01,37.28,3,0.9666666666666667,11.533333333333333,75.429,2.408526237186881,256181,2.902945925753353
ES,2003,4,2003-10-01,36.94,2.7666666666666666,1.4,11.366666666666667,75.429,2.408526237186881,258329,2.961761353219239
ES,2004,1,2004-01-01,36.72,2.2333333333333334,0.4333333333333334,11.2,78.006,3.416457861034883,259840,2.575439372167576
ES,2004,2,2004-04-01,36.8,3.2,0.8666666666666667,11.2,78.006,3.416457861034883,262599,3.2687475175687375
ES,2004,3,2004-07-01,36.68,3.2666666666666666,2.433333333333333,10.966666666666667,78.006,3.416457861034883,264814,3.369883012401398
ES,2004,4,2004-10-01,36.82,3.466666666666667,3.9333333333333336,10.533333333333333,78.006,3.416457861034883,266693,3.237731729693527
ES,2005,1,2005-01-01,37.24,3.2666666666666666,3.566666666666667,9.9,80.542,3.2510319718995984,269076,3.554495073891628
ES,2005,2,2005-04-01,36.99,3.2666666666666666,6.266666666666667,9.4,80.542,3.2510319718995984,271464,3.375869672009424
ES,2005,3,2005-07-01,37.18,3.4666666666666663,7.7,8.633333333333333,80.542,3.2510319718995984,274064,3.4930177407538787
ES,2005,4,2005-10-01,37.25,3.533333333333333,7.633333333333333,8.7,80.542,3.2510319718995984,276769,3.7781269099676384
ES,2006,1,2006-01-01,36.06,4.066666666666666,12.433333333333334,8.733333333333333,83.556,3.74214695438404,279989,4.055731466202861
ES,2006,2,2006-04-01,36.64,4,12.033333333333333,8.5,83.556,3.74214695438404,282509,4.068679456576185
ES,2006,3,2006-07-01,37.07,3.5666666666666664,9.4,8.266666666666667,83.556,3.74214695438404,285176,4.054527409656128
ES,2006,4,2006-10-01,37.36,2.666666666666667,5.7,8.266666666666667,83.556,3.74214695438404,287830,3.99647359350217
ES,2007,1,2007-01-01,37.19,2.433333333333333,2.2666666666666666,8.2,86.836,3.9255110345157718,290446,3.734789581019249
ES,2007,2,2007-04-01,37.67,2.433333333333333,0.2,7.966666666666667,86.836,3.9255110345157718,292995,3.711740156950749
ES,2007,3,2007-07-01,38.54,2.4,0.6333333333333333,8.233333333333334,86.836,3.9255110345157718,295191,3.5118663562150987
ES,2007,4,2007-10-01,39.95,4,4.433333333333334,8.6,86.836,3.9255110345157718,296994,3.1838237848730078
ES,2008,1,2008-01-01,38.26,4.5,7.1000000000000005,9.3,92.434,6.44663503616012,297549,2.445549258726243
ES,2008,2,2008-04-01,39.53,4.666666666666667,10.333333333333334,10.4,92.434,6.44663503616012,297654,1.5901295243946123
ES,2008,3,2008-07-01,40.53,4.933333333333334,14.166666666666666,11.533333333333333,92.434,6.44663503616012,297024,0.6209538908706458
ES,2008,4,2008-10-01,41.18,2.466666666666667,10,13.833333333333334,92.434,6.44663503616012,292418,-1.5407718674451343
ES,2009,1,2009-01-01,39.65,0.4666666666666667,4.9,16.733333333333334,93.647,1.3122876863491895,284598,-4.352560418620122
ES,2009,2,2009-04-01,41.79,-0.7000000000000001,-2.9,17.866666666666667,93.647,1.3122876863491895,284785,-4.323476250949088
ES,2009,3,2009-07-01,41.72,-0.9666666666666667,-5.633333333333334,18.2,93.647,1.3122876863491895,285346,-3.931668821374701
ES,2009,4,2009-10-01,41.64,0.23333333333333334,-3.2333333333333334,18.733333333333334,93.647,1.3122876863491895,285277,-2.442052130853778
ES,2010,1,2010-01-01,40.81,1.2666666666666668,-0.2666666666666667,19.233333333333334,93.109,-0.5744978483026797,285022,0.14898207295905852
ES,2010,2,2010-04-01,40.73,2.3333333333333335,6.7,19.96666666666667,93.109,-0.5744978483026797,285374,0.20682269080183335
ES,2010,3,2010-07-01,40.72,2.0666666666666664,7.966666666666667,20,93.109,-0.5744978483026797,285194,-0.05326866330700453
ES,2010,4,2010-10-01,40.89,2.5666666666666664,11.133333333333333,20.2,93.109,-0.5744978483026797,285489,0.0743137371747471
ES,2011,1,2011-01-01,40.91,3.2333333333333334,17.166666666666664,20.5,91.619,-1.6002749465679922,285264,0.08490572657549045
ES,2011,2,2011-04-01,41.25,3.3,16.7,20.766666666666666,91.619,-1.6002749465679922,284526,-0.29715391030717964
ES,2011,3,2011-07-01,41.19,2.9,16,21.733333333333334,91.619,-1.6002749465679922,282790,-0.8429349846069689
ES,2011,4,2011-10-01,41.26,2.7333333333333334,13.066666666666666,22.633333333333333,91.619,-1.6002749465679922,281197,-1.5033854194032026
ES,2012,1,2012-01-01,41.79,1.9,5.733333333333333,23.566666666666666,89.548,-2.2604481603160864,278551,-2.3532587357675716
ES,2012,2,2012-04-01,41.89,1.9,9.766666666666666,24.533333333333335,89.548,-2.2604481603160864,275851,-3.0489305019576474
ES,2012,3,2012-07-01,42.52,2.8000000000000003,12.533333333333333,25.233333333333334,89.548,-2.2604481603160864,274584,-2.9017999222037516
ES,2012,4,2012-10-01,42.83,3.1666666666666665,10.966666666666667,25.866666666666667,89.548,-2.2604481603160864,272307,-3.16148465310796
ES,2013,1,2013-01-01,43.21,2.7666666666666666,7.366666666666666,26.3,89.191,-0.398668870326524,271559,-2.5101327943536367
ES,2013,2,2013-04-01,43.73,1.8333333333333335,-2.2333333333333334,26.2,89.191,-0.398668870326524,271281,-1.6566914747454198
ES,2013,3,2013-07-01,43.61,1.3333333333333333,-4.133333333333333,26.1,89.191,-0.398668870326524,271109,-1.2655507968417634
ES,2013,4,2013-10-01,43.51,0.19999999999999998,-1.8333333333333333,25.8,89.191,-0.398668870326524,271625,-0.25045261414506914
ES,2014,1,2014-01-01,43.19,0.06666666666666667,1.6666666666666667,25.3,89.076,-0.12893677613212695,272652,0.4024908031035723
ES,2014,2,2014-04-01,42.82,0.16666666666666666,5.133333333333334,24.633333333333333,89.076,-0.12893677613212695,274124,1.047990828697909
ES,2014,3,2014-07-01,42.72,-0.4,2.6333333333333333,24.133333333333333,89.076,-0.12893677613212695,276316,1.9206297098215197
ES,2014,4,2014-10-01,42.83,-0.6000000000000001,0.13333333333333322,23.766666666666666,89.076,-0.12893677613212695,278988,2.710722503451457
ES,2015,1,2015-01-01,42.82,-1.1666666666666667,-3.6666666666666665,23.166666666666664,89.001,-0.08419776370738319,282384,3.569385150301474
ES,2015,2,2015-04-01,42.91,-0.3333333333333333,-4.1,22.5,89.001,-0.08419776370738319,285546,4.166727466402076
ES,2015,3,2015-07-01,43.13,-0.5333333333333333,-5,21.633333333333333,89.001,-0.08419776370738319,288165,4.288206256604754
ES,2015,4,2015-10-01,43.29,-0.4666666666666667,-7.366666666666666,20.966666666666665,89.001,-0.08419776370738319,290739,4.212009118671767
ES,2016,1,2016-01-01,43.66,-0.8,-14.766666666666666,20.4,88.38,-0.6977449691576654,292758,3.6737208907020147
ES,2016,2,2016-04-01,43.91,-1.0666666666666667,-15.466666666666667,20.133333333333333,88.38,-0.6977449691576654,293727,2.8650375070916834
ES,2016,3,2016-07-01,44,-0.3333333333333333,-10.733333333333333,19.3,88.38,-0.6977449691576654,296049,2.7359325386497213
ES,2016,4,2016-10-01,43.74,0.7999999999999999,-0.5,18.733333333333334,88.38,-0.6977449691576654,297731,2.4049061185461795
ES,2017,1,2017-01-01,43.73,2.6666666666666665,14.733333333333334,18.2,88.642,0.2964471599909535,299839,2.4187212646622713
ES,2017,2,2017-04-01,43.64,2.066666666666667,11.866666666666667,17.4,88.642,0.2964471599909535,302975,3.14850184014408
ES,2017,3,2017-07-01,43.52,1.8333333333333333,7.166666666666667,16.766666666666666,88.642,0.2964471599909535,304888,2.9856544018051157
ES,2017,4,2017-10-01,43.66,1.5666666666666667,3.9,16.633333333333333,88.642,0.2964471599909535,306745,3.0275651510927704
ES,2018,1,2018-01-01,43.37,1.0666666666666667,-0.9,16.166666666666664,90.032,1.5681054127840044,308056,2.7404707192860256
ES,2018,2,2018-04-01,42.98,1.8333333333333333,3.2333333333333334,15.466666666666667,90.032,1.5681054127840044,310065,2.3401270731908674
ES,2018,3,2018-07-01,42.72,2.2666666666666666,9.466666666666667,14.833333333333334,90.032,1.5681054127840044,311796,2.265750045918491
ES,2018,4,2018-10-01,42.28,1.7333333333333332,5.833333333333333,14.566666666666666,90.032,1.5681054127840044,313621,2.2416013300950333
ES,2019,1,2019-01-01,42.3,1.1333333333333333,2.9000000000000004,14.233333333333333,93.949,4.3506753154433975,315544,2.430726880826861
ES,2019,2,2019-04-01,41.42,1.0333333333333334,-1.3,14.233333333333333,93.949,4.3506753154433975,316454,2.0605356941286512
ES,2019,3,2019-07-01,41.25,0.4,-9.133333333333333,14.1,93.949,4.3506753154433975,317060,1.6882833647641426
ES,2019,4,2019-10-01,41.17,0.5,-11.433333333333334,13.9,93.949,4.3506753154433975,318869,1.673357332576586
ES,2020,1,2020-01-01,37.6,0.7000000000000001,-10.9,13.966666666666667,100,6.440728480345714,302360,-4.178181172831685
ES,2020,2,2020-04-01,36.16,-0.6333333333333333,-14.233333333333334,15.6,100,6.440728480345714,248569,-21.451774981513903
ES,2020,3,2020-07-01,38.47,-0.6333333333333333,-7.7,16.366666666666667,100,6.440728480345714,288097,-9.13486406358418
ES,2020,4,2020-10-01,37.96,-0.7666666666666667,-5.833333333333334,16.233333333333334,100,6.440728480345714,290188,-8.99460279926867
ES,2021,1,2021-01-01,37.53,0.5,4.133333333333333,15.7,101.696,1.6960000000000086,293675,-2.872403757110731
ES,2021,2,2021-04-01,37.97,2.3,25.366666666666667,15.666666666666666,101.696,1.6960000000000086,297701,19.76594024194489
ES,2021,3,2021-07-01,37.2,3.4,27.933333333333334,14.766666666666667,101.696,1.6960000000000086,303569,5.370413437140953
ES,2021,4,2021-10-01,38.48,5.833333333333333,48.1,13.566666666666666,101.696,1.6960000000000086,309736,6.736322659792959
ES,2022,1,2022-01-01,39.12,7.866666666666667,59.96666666666667,13.266666666666667,103.471,1.7453980490874876,314604,7.126585511194339
ES,2022,2,2022-04-01,39.83,8.933333333333334,38.86666666666667,13,103.471,1.7453980490874876,319957,7.475957420364732
ES,2022,3,2022-07-01,41.27,10.066666666666666,44.233333333333334,12.8,103.471,1.7453980490874876,322567,6.258214771600534
ES,2022,4,2022-10-01,40.99,6.5,-5.266666666666667,13.133333333333333,103.471,1.7453980490874876,324296,4.700777436268311
ES,2023,1,2023-01-01,41.16,5,-25.1,12.833333333333334,109.412,5.741705405379283,325950,3.6064385703932667
ES,2023,2,2023-04-01,40.42,2.7666666666666666,-28.1,12,109.412,5.741705405379283,326419,2.0196463899836647
ES,2023,3,2023-07-01,39.36,2.6,-34.766666666666666,11.966666666666667,109.412,5.741705405379283,328997,1.9933843201567436
ES,2023,4,2023-10-01,39.31,3.3666666666666667,-18.8,11.933333333333334,109.412,5.741705405379283,331591,2.2494881219626617
ES,2024,1,2024-01-01,39.05,3.2333333333333334,-3.7333333333333334,11.8,113.251,3.5087558951486075,335282,2.863015799969326
ES,2024,2,2024-04-01,39.15,3.6,7.6000000000000005,11.566666666666666,113.251,3.5087558951486075,338363,3.659100726367037
ES,2024,3,2024-07-01,39.23,2.333333333333333,3.8333333333333335,11.266666666666667,113.251,3.5087558951486075,340952,3.633771736520397
ES,2024,4,2024-10-01,38.78,2.333333333333333,11.833333333333334,10.833333333333334,113.251,3.5087558951486075,343726,3.6596288801565846
ES,2025,1,2025-01-01,38.49,2.6666666666666665,15.466666666666667,10.866666666666667,117.795,4.012326601972616,345407,3.0198459803985944
ES,2025,2,2025-04-01,38.17,2.1666666666666665,5.766666666666667,10.566666666666666,117.795,4.012326601972616,347971,2.8395539701444816
ES,2025,3,2025-07-01,38.15,2.8000000000000003,11.700000000000001,10.5,117.795,4.012326601972616,350210,2.715338229428199
ES,2025,4,2025-10-01,38.05,3.1333333333333333,10.266666666666666,10.1,117.795,4.012326601972616,353106,2.728917800806463
FR,1997,1,1997-01-01,30.93,1.5333333333333334,2.8,10.9,72.796,-0.08372565436401969,430139.7,1.397487196242242
